"reviewPriority","recommendation","query","expectedTitle","top1Title","flags","titleSimilarity","entryBucket","finalRank","bestCorrectRrfRank","failureRisk","supportPattern","queryType","queryScope","themeFamily","expectedOtid","top1Otid","rationale"
"high","add_year_or_replace_case","推免预报名都招哪些专业","人工智能学院关于接收2022年推荐免试研究生预报名的通知","中山大学人工智能学院关于接收2023年推荐免试研究生预报名申请的通知","no_explicit_year|competing_year_version|under_anchored_short_query|same_family_version_chain|near_duplicate_title","0.84","aggregation_drop","5","11","best_kpid_confusion","single_kp","standard","fact_detail","推免预报名招生专业","otid_81112559b6b240f2","otid_eada182ca6104c99","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
"high","verify_eval_boundary_or_expected_otid","根据5月26日发布的《该学院2025年以“申请-考核”制招收博士研究生招生简章》，综合考核结果（第二批）的公示是基于哪些具体规定和审核流程，另外该学院在2024年12月25日发布的2025年“申请-考核”制博士招生通知中，审核通过的考生名单如何排列？","人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知","人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","needs_ot_context","ot_required","standard","procedure","doctoral_cross_doc","otid_9a0576424d284199","otid_9a0576424d284199","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","作为一个应届硕士毕业生 如果我想申请人工智能学院2021年博士 需要满足哪些基本条件 并描述从预报名到录取的整个流程。","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","needs_ot_context","ot_required","situational","policy_overview","博士招生","otid_1fe8155fa2f64320","otid_1fe8155fa2f64320","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","add_year_or_replace_case","联合培养博士专项线上报到怎么安排","人工智能学院关于2022年中山大学-鹏城实验室联合培养博士研究生专项计划招生综合考核通知","鹏城国家实验室-中山大学2026年联合培养博士研究生专项计划招生简章","no_explicit_year|competing_year_version|under_anchored_short_query","0.4737","aggregation_drop","4","4","best_kpid_confusion","single_kp","standard","procedure","联合培养博士专项报到流程","otid_b5047e817198431e","otid_ae46d4b5d6e74990","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","如果想走预推免 先网报还是先填问卷","中山大学人工智能学院2026年接收优秀应届本科毕业生推荐免试攻读研究生预报名通知","人工智能学院2021年接收推荐免试生工作方案","no_explicit_year|competing_year_version|under_anchored_short_query","0.2778","aggregation_drop","4","4","best_kpid_confusion","single_kp","situational","procedure","推免预报名流程","otid_9c03330f339d4f33","otid_01b65cafe0894b9c","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","人工智能学院2023年博士申请考核制实施办法中 考核总成绩如何使用 哪些情形不予录取","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","same_family_version_chain|near_duplicate_title","1","aggregation_drop","2","8","best_kpid_confusion","single_kp","standard","policy_overview","博士实施办法","otid_dc2fbd2f88f7453b","otid_5f10b726aa1d4728","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","中山大学人工智能学院在2025年9月15日发布的通知中，公布了哪一年的预推免考核名单？","中山大学人工智能学院关于公布2026年进入预推免考核名单的通知","中山大学人工智能学院关于公布2025年进入预推免考核名单的通知","same_family_version_chain|near_duplicate_title","1","unknown","","1","needs_ot_context","single_kp","standard","policy_overview","tuimian","otid_8c93e52cc4314e6c","otid_2cf6f4e5e6b648a9","expected and top1 titles are nearly duplicate."
"high","expand_acceptable_otids_or_replace_case","2021年直博预报名的英语成绩有什么要求","中山大学人工智能学院关于接收2021年推荐免试研究生预报名申请的通知","中山大学人工智能学院关于接收2021年推荐免试研究生预报名申请的通知","same_family_version_chain|near_duplicate_title","1","aggregation_drop","2","4","best_kpid_confusion","single_kp","standard","eligibility_condition","直博预报名条件","otid_fcf3caca2aa340ca","otid_6e85da455dd34af3","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","逸仙博士后项目的要要什么条件和待遇支持政策都有哪些","中山大学人工智能学院诚邀全球青年英才申请逸仙博士后项目","中山大学人工智能学院诚邀全球青年英才申请2025年逸仙博士后项目","same_family_version_chain|near_duplicate_title","1","aggregation_drop","3","3","best_kpid_confusion","multi_kp","standard","eligibility_condition","博士后项目","otid_55c5131d829e4a00","otid_906af0c4c6e541c2","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","anchor_query_with_entity_year_or_replace_case","调剂复试时间线","中山大学人工智能学院关于2021年硕士研究生调剂复试的通知","中山大学人工智能学院2021年硕士研究生调剂公告","no_explicit_year|under_anchored_short_query","0.5","aggregation_drop","4","3","best_kpid_confusion","multi_kp","short_keyword","time_location","调剂复试时间安排","otid_c4270d3c6e9944fd","otid_a2f94115e88244d4","expected document is year-specific but query has no explicit year; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
