"dataset","reviewPriority","proposedAction","recommendation","query","expectedTitle","top1Title","expectedOtid","top1Otid","finalRank","entryBucket","flags","titleSimilarity","rationale"
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","强基计划 专业 列表","中山大学2022年强基计划专业培养方案","中山大学2022年强基计划专业培养方案","otid_2477f2983e6348bb","otid_2477f2983e6348bb","1","already_top1","no_explicit_year|under_anchored_short_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; query is short and lacks anchoring constraints; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","软件工程学院2025年博士改报志愿的申请和后续流程怎么走","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","otid_b8a98fa84f504d63","otid_b8a98fa84f504d63","1","already_top1","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","一名港澳台应届毕业生 想申请2025年软件工程学院研究生 从申请到录取的整个过程需要注意什么","软件工程学院2025年面向港澳台地区招收研究生招生复试录取实施细则","软件工程学院2025年面向港澳台地区招收研究生招生复试录取实施细则","otid_ed940aabc9c24803","otid_ed940aabc9c24803","1","already_top1","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","申请广州国家实验室-联合培养博士项目 需要满足哪些完整条件","广州国家实验室-中山大学 2025年联合培养博士研究生专项计划招生简章","广州国家实验室-中山大学 2025年联合培养博士研究生专项计划招生简章","otid_6258d4af76df4ee7","otid_6258d4af76df4ee7","1","already_top1","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","在职临床医师以同等学力申请临床医学博士专业学位，提交的专家推荐书对推荐人有什么资格要求？","关于2018年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的通知","关于2018年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的通知","otid_e2bcfb99b4af4c46","otid_e2bcfb99b4af4c46","1","already_top1","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","2025年接收推免的申请和录取流程怎么走是什么","中山大学2025年接收推荐免试研究生办法","中山大学2025年接收推荐免试研究生办法","otid_f672cc42a5a04134","otid_f672cc42a5a04134","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","2020年同等学力人员申请临床医学博士专业学位论文答辩需要完成哪些主要步骤","关于2020年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2020年同等学力人员申请临床医学博士专业学位论文答辩的通知","otid_f7a9215086674711","otid_f7a9215086674711","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","2025年高校思想政治工作骨干在职攻读博士学位从报名到录取的完整步骤都有哪些","中山大学2025年高校思想政治工作骨干在职攻读博士学位研究生招生简章","中山大学2025年高校思想政治工作骨干在职攻读博士学位研究生招生简章","otid_db7dfa0d6dde403a","otid_db7dfa0d6dde403a","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","2024港澳奖学金申请评审时间怎么安排","研究生院关于评选研究生2024年度港澳及华侨学生奖学金、台湾学生奖学金的通知","研究生院关于评选研究生2024年度港澳及华侨学生奖学金、台湾学生奖学金的通知","otid_656f7a8ec44e4fac","otid_656f7a8ec44e4fac","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","硕博连读申请者在2024年10月奖助金发放中的特殊安排是什么","研究生院关于2024学年10月研究生奖助金发放安排的通知","研究生院关于2024学年10月研究生奖助金发放安排的通知","otid_0cf1cfb3d7bc4735","otid_0cf1cfb3d7bc4735","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
