"dataset","reviewPriority","proposedAction","recommendation","query","expectedTitle","top1Title","expectedOtid","top1Otid","finalRank","entryBucket","flags","titleSimilarity","rationale"
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","外语类保送生面试的整个流程是怎样的 从打印准考证到面试结束","中山大学关于2026年外语类保送生面试考核安排的通知","中山大学关于2026年外语类保送生面试考核安排的通知","otid_026bbae2756a4096","otid_026bbae2756a4096","1","already_top1","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","2025-2026学年软件工程学院仲明助学金申请 电子版材料提交到哪个邮箱","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第一批）评选工作的通知","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第一批）评选工作的通知","otid_9a72545adb084d1d","otid_9a72545adb084d1d","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","软件工程学院2025年博士改报志愿的完整政策和要求是什么","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","otid_b8a98fa84f504d63","otid_b8a98fa84f504d63","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"BlindExtOOD","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","根据5月26日发布的《该学院2025年以“申请-考核”制招收博士研究生招生简章》，综合考核结果（第二批）的公示是基于哪些具体规定和审核流程，另外该学院在2024年12月25日发布的2025年“申请-考核”制博士招生通知中，审核通过的考生名单如何排列？","人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知","人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知","otid_9a0576424d284199","otid_9a0576424d284199","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"BlindExtOOD","high","verify_expected_boundary","verify_eval_boundary_or_expected_otid","作为一个应届硕士毕业生 如果我想申请人工智能学院2021年博士 需要满足哪些基本条件 并描述从预报名到录取的整个流程。","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","otid_1fe8155fa2f64320","otid_1fe8155fa2f64320","1","already_top1","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"Main","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","中山大学2018同等学力报名考试时间地点例外","关于做好中山大学同等学力申请硕士学位人员2018年全国统一考试报名工作的通知","关于做好中山大学同等学力申请硕士学位人员2018年全国统一考试报名工作的通知","otid_21f03d6ed68a427d","otid_10113240e3a74f20","4","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","如果我是2020年6月后通过资格认定的申请人 现在想赶2022年下半年答辩 还得同时满足哪些资格和有效期要求","关于2022年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2024年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","otid_98669718896245fc","otid_43d49d8e09054fe3","2","aggregation_drop","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","作为一名同等学力申请者，如果我想在2019年下半年完成临床医学博士论文答辩并领取学位证书，应该怎么规划时间？","关于2019年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2021年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","otid_14f1526dcec041d6","otid_e4227af2d62a4f20","3","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","人工智能学院2023年博士申请考核制实施办法中 考核总成绩如何使用 哪些情形不予录取","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","otid_dc2fbd2f88f7453b","otid_5f10b726aa1d4728","2","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","中山大学人工智能学院在2025年9月15日发布的通知中，公布了哪一年的预推免考核名单？","中山大学人工智能学院关于公布2026年进入预推免考核名单的通知","中山大学人工智能学院关于公布2025年进入预推免考核名单的通知","otid_8c93e52cc4314e6c","otid_2cf6f4e5e6b648a9","","unknown","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate."
"BlindExtOOD","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","2021年直博预报名的英语成绩有什么要求","中山大学人工智能学院关于接收2021年推荐免试研究生预报名申请的通知","中山大学人工智能学院关于接收2021年推荐免试研究生预报名申请的通知","otid_fcf3caca2aa340ca","otid_6e85da455dd34af3","2","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","逸仙博士后项目的要要什么条件和待遇支持政策都有哪些","中山大学人工智能学院诚邀全球青年英才申请逸仙博士后项目","中山大学人工智能学院诚邀全球青年英才申请2025年逸仙博士后项目","otid_55c5131d829e4a00","otid_906af0c4c6e541c2","3","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","replace_or_anchor_query","add_year_or_replace_case","通过初审了，中山大学高水平运动队测试哪天在广州校区考？","中山大学关于2021年高水平运动队招生测试安排的通知","中山大学关于2022年高水平运动队招生测试安排的通知","otid_14ff3c5f13ac4c49","otid_cb15bb6977d54dca","2","aggregation_drop","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","1","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","replace_or_anchor_query","add_year_or_replace_case","考研中山大学报考点的网上确认时间是哪天到哪天？","2025年全国硕士研究生报名考试中山大学报考点（代码：4413）公告","全国2021年硕士研究生报名考试中山大学报考点（代码：4413）公告","otid_63a7acf7429240b8","otid_849070d708e0472f","5","aggregation_drop","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","1","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
