"reviewPriority","recommendation","query","expectedTitle","top1Title","flags","titleSimilarity","entryBucket","finalRank","bestCorrectRrfRank","failureRisk","supportPattern","queryType","queryScope","themeFamily","expectedOtid","top1Otid","rationale"
"high","verify_eval_boundary_or_expected_otid","推免名单专业和年级","人工智能学院关于2025届本科毕业生免试攻读研究生推荐资格（工程硕博专项类）公示的通知","人工智能学院关于2025届本科毕业生免试攻读研究生推荐资格（工程硕博专项类）公示的通知","no_explicit_year|under_anchored_short_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","partial_multi_kp_coverage","multi_kp","short_keyword","fact_detail","工程硕博推免名单信息","otid_82fe535421c6472c","otid_82fe535421c6472c","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; query is short and lacks anchoring constraints; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","如果要申请家庭经济困难学生认定 人工智能学院这边材料和流程怎么安排","人工智能学院关于做好2020-2021学年家庭经济困难学生认定工作的通知","人工智能学院关于做好2020-2021学年家庭经济困难学生认定工作的通知","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","single_kp","situational","procedure","学生资助认定流程","otid_5c5176fae0a54caf","otid_5c5176fae0a54caf","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","如果没看到入营通知附件 还能从通知正文里确认一共招了多少名营员吗","中山大学人工智能学院2022年全国优秀大学生夏令营入营通知","中山大学人工智能学院2022年全国优秀大学生夏令营入营通知","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","single_kp","situational","fact_detail","夏令营入营名单信息","otid_cf0fb6da0f1a4b18","otid_cf0fb6da0f1a4b18","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","根据5月26日发布的《该学院2025年以“申请-考核”制招收博士研究生招生简章》，综合考核结果（第二批）的公示是基于哪些具体规定和审核流程，另外该学院在2024年12月25日发布的2025年“申请-考核”制博士招生通知中，审核通过的考生名单如何排列？","人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知","人工智能学院关于公示2025年“申请-考核”制博士研究生综合考核结果（第二批）的通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","needs_ot_context","ot_required","standard","procedure","doctoral_cross_doc","otid_9a0576424d284199","otid_9a0576424d284199","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2021年人工智能学院夏令营什么时候报名 报名对象和要准备要准备什么材料都有哪些","中山大学人工智能学院2021年全国优秀大学生夏令营报名通知","中山大学人工智能学院2021年全国优秀大学生夏令营报名通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","partial_multi_kp_coverage","multi_kp","standard","policy_overview","夏令营报名","otid_9cf3ef26730b4cb4","otid_9cf3ef26730b4cb4","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2026年人工智能学院硕士研究生复试结果通知中，拟录取考生退出录取流程时递补安排的规则是什么？","人工智能学院关于公布2026年硕士研究生招生复试结果的通知","人工智能学院关于公布2026年硕士研究生招生复试结果的通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","single_kp","standard","policy_overview","硕士复试结果递补规则","otid_42225868ea784bbf","otid_42225868ea784bbf","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","人工智能学院2024年推免接收办法的整体要求是什么","中山大学人工智能学院2024年推荐免试研究生接收办法","中山大学人工智能学院2024年推荐免试研究生接收办法","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","4","best_kpid_confusion","ot_required","standard","policy_overview","推免接收办法","otid_64fee3c7ad80452e","otid_64fee3c7ad80452e","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","人工智能学院科研团队秘书岗位的职责、招聘条件和怎么弄是什么","招聘中山大学人工智能学院科研团队秘书的启事","招聘中山大学人工智能学院科研团队秘书的启事","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","ot_required","standard","policy_overview","岗位招聘","otid_69b895a0ab0c40ea","otid_69b895a0ab0c40ea","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","作为一个应届硕士毕业生 如果我想申请人工智能学院2021年博士 需要满足哪些基本条件 并描述从预报名到录取的整个流程。","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2021年以“申请-考核”制招收博士研究生招生简章","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","needs_ot_context","ot_required","situational","policy_overview","博士招生","otid_1fe8155fa2f64320","otid_1fe8155fa2f64320","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2024年夏令营报名对本科专业背景有什么要求","中山大学人工智能学院2024年全国优秀大学生夏令营活动报名通知","中山大学人工智能学院2024年全国优秀大学生夏令营活动报名通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","single_kp","standard","eligibility_condition","夏令营报名要求","otid_444d8fa2a8a54ec6","otid_444d8fa2a8a54ec6","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
