"reviewPriority","recommendation","query","expectedTitle","top1Title","flags","titleSimilarity","entryBucket","finalRank","bestCorrectRrfRank","failureRisk","supportPattern","queryType","queryScope","themeFamily","expectedOtid","top1Otid","rationale"
"high","verify_eval_boundary_or_expected_otid","如果我是2020年6月后通过资格认定的申请人 现在想赶2022年下半年答辩 还得同时满足哪些资格和有效期要求","关于2022年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2022年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","multi_kp","situational","eligibility_condition","同等学力博士答辩资格","otid_98669718896245fc","otid_98669718896245fc","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; audit indicates a possible boundary or metric interpretation issue."
"high","add_year_or_replace_case","考研中山大学报考点的网上确认时间是哪天到哪天？","2025年全国硕士研究生报名考试中山大学报考点（代码：4413）公告","2026年全国硕士研究生报名考试中山大学报考点（代码：4413）公告","no_explicit_year|competing_year_version|same_family_version_chain|near_duplicate_title","1","aggregation_drop","4","11","best_kpid_confusion","single_kp","standard","time_location","中山大学报考点时间安排","otid_63a7acf7429240b8","otid_139b9801959d4db4","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","同等学力英语考试大纲","关于2025年同等学力人员申请硕士学位全国统一考试报名工作的通知","关于做好中山大学同等学力申请硕士学位人员2017年全国统一考试报名工作的通知","no_explicit_year|competing_year_version|under_anchored_short_query|same_family_version_chain","0.6875","aggregation_drop","2","3","best_kpid_confusion","single_kp","short_keyword","fact_detail","2025年同等学力全国统考","otid_1ab70aa425dd43cd","otid_84b61db3e2364d2a","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain; expected and top1 titles are in the same topic family; query is short and lacks anchoring constraints; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","一名应届硕士毕业生 想报考2024年博士 报名时需要注意什么","中山大学2024年博士研究生招生章程及招生学科专业目录","中山大学2024年硕士研究生招生章程及招生学科专业目录","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title","0.8824","aggregation_drop","12","4","requires_multi_kp","multi_kp","situational","procedure","博士招生报名流程","otid_68999cb6f0a3468d","otid_1c14b6043fd645c8","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","作为一名同等学力申请者，如果我想在2019年下半年完成临床医学博士论文答辩并领取学位证书，应该怎么规划时间？","关于2019年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2021年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","same_family_version_chain|near_duplicate_title","1","aggregation_drop","3","1","needs_ot_context","ot_required","situational","time_location","同等学力博士答辩","otid_14f1526dcec041d6","otid_e4227af2d62a4f20","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","2023年上半年同等学力申请硕士学位论文答辩的网上申请截止日期是哪天？","关于2023年上半年同等学力人员申请硕士学位论文答辩的通知","关于2023年下半年同等学力人员申请硕士学位论文答辩的通知","same_family_version_chain|near_duplicate_title","0.84","aggregation_drop","3","6","best_kpid_confusion","single_kp","standard","time_location","答辩申请时间","otid_3be934ddb5624284","otid_c7dc0e8b08b445e6","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","expand_acceptable_otids_or_replace_case","2021年研究生寒假注册规定","关于在校研究生2021年寒假及2020学年春季学期开学注册有关事项的通知","关于在校研究生2021学年寒假放假及2021学年春季学期开学注册有关事项的通知","same_family_version_chain|near_duplicate_title","0.8333","aggregation_drop","2","4","needs_ot_context","ot_required","short_keyword","policy_overview","研究生寒假注册政策","otid_9616403d7b39495c","otid_9cd645190fe2468b","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"high","add_year_or_replace_case","博士研究生统一入学考试的时间和地点是什么？","关于2019年博士研究生入学考试时间、“申请-考核”制招生院系统考考生考试科目等的公告","中山大学2018年博士研究生招生报名公告","no_explicit_year|competing_year_version","0.1667","unknown","","6","document_miss","single_kp","standard","time_location","博士考试时间地点","otid_7e097cbd3c524853","otid_f432dc1f6535443f","expected document is year-specific but query has no explicit year; top1 is another year/version in a competing document chain."
"medium","anchor_query_with_entity_year_or_replace_case","我现在是应届硕士生，准备报2024年博士，但不确定网上报名、材料上传、导师确认和系统填报有没有先后要求，报名阶段最需要注意哪些事？","中山大学2024年博士研究生招生章程及招生学科专业目录","中山大学2024年博士研究生招生报名公告","vague_or_context_dependent_query","0.3","early_late","14","77","requires_multi_kp","multi_kp","situational","procedure","博士招生报名流程","otid_68999cb6f0a3468d","otid_a206a52bfb3f46aa","query contains vague or context-dependent wording."
"low","keep_as_algorithm_case_after_dataset_review","2026年选择报考点的整个报名和考试流程是怎样的","2026年全国硕士研究生报名考试中山大学报考点（代码：4413）公告","2026年全国硕士研究生招生考试中山大学报考点（代码4413）网上确认公告","","0.5862","aggregation_drop","3","7","partial_multi_kp_coverage","multi_kp","standard","procedure","考研报名流程","otid_139b9801959d4db4","otid_8f77ee9e86c84c7d","No obvious dataset-rationality flag from title/year/query heuristics."
