"dataset","reviewPriority","proposedAction","recommendation","query","expectedTitle","top1Title","expectedOtid","top1Otid","finalRank","entryBucket","flags","titleSimilarity","rationale"
"Main","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","中山大学2018同等学力报名考试时间地点例外","关于做好中山大学同等学力申请硕士学位人员2018年全国统一考试报名工作的通知","关于做好中山大学同等学力申请硕士学位人员2018年全国统一考试报名工作的通知","otid_21f03d6ed68a427d","otid_10113240e3a74f20","3","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","人工智能学院2023年博士申请考核制实施办法中 考核总成绩如何使用 哪些情形不予录取","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","otid_dc2fbd2f88f7453b","otid_5f10b726aa1d4728","2","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","high","accept_same_title_duplicate","expand_acceptable_otids_or_replace_case","2021年直博预报名的英语成绩有什么要求","中山大学人工智能学院关于接收2021年推荐免试研究生预报名申请的通知","中山大学人工智能学院关于接收2021年推荐免试研究生预报名申请的通知","otid_fcf3caca2aa340ca","otid_6e85da455dd34af3","2","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","按2019年下半年同等学力临床医学博士答辩通知，如果想完成答辩并领取学位证书，应该怎么规划时间？","关于2019年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","关于2021年下半年同等学力人员申请临床医学博士专业学位论文答辩的通知","otid_14f1526dcec041d6","otid_e4227af2d62a4f20","2","aggregation_drop","same_family_version_chain|near_duplicate_title","1","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","软件工程学院2025年博士改报志愿的申请和后续流程怎么走","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告","中山大学软件工程学院2025年以“申请-考核”制招收博士研究生改报志愿公告（第二批）","otid_b8a98fa84f504d63","otid_d2c7f1cd37464fbf","2","aggregation_drop","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title","0.8889","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; correct document entered candidate retrieval but lost final aggregation."
"Main","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2025-2026学年软件工程学院仲明助学金申请 电子版材料提交到哪个邮箱","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第一批）评选工作的通知","软件工程学院关于开展2025-2026学年本科生校级捐赠助学金（第二批）评选工作的通知","otid_9a72545adb084d1d","otid_2c2fffdc61b0465f","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.8788","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2023年上半年同等学力申请硕士学位论文答辩的网上申请截止日期是哪天？","关于2023年上半年同等学力人员申请硕士学位论文答辩的通知","关于2023年下半年同等学力人员申请硕士学位论文答辩的通知","otid_3be934ddb5624284","otid_c7dc0e8b08b445e6","3","aggregation_drop","same_family_version_chain|near_duplicate_title","0.84","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"InDomain","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2020学年春季学期开学注册通知中，2021年寒假后的研究生注册规定是什么？","关于在校研究生2021年寒假及2020学年春季学期开学注册有关事项的通知","关于在校研究生2021学年寒假放假及2021学年春季学期开学注册有关事项的通知","otid_9616403d7b39495c","otid_9cd645190fe2468b","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.8333","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"Main","high","manual_review_same_family","expand_acceptable_otids_or_replace_case","2020年同等学力申请硕士学位论文答辩需要满足哪些条件？","关于2020年同等学力人员申请硕士学位论文答辩的通知","关于2021年下半年同等学力人员申请硕士学位论文答辩的通知","otid_efde91d4cd6b4ecb","otid_97636a32f1f941e1","2","aggregation_drop","same_family_version_chain|near_duplicate_title","0.7917","expected and top1 titles are nearly duplicate; correct document entered candidate retrieval but lost final aggregation."
"BlindExtOOD","medium","manual_review_same_family","keep_as_algorithm_case_after_dataset_review","2022年人工智能学院博士申请考核招生要求中 报名时间、申请资格和材料都有哪些要求","中山大学人工智能学院2022年以“申请-考核”制招收博士研究生招生简章","中山大学人工智能学院2023年以“申请-考核”制招收博士研究生实施办法","otid_5e4e1434da5748eb","otid_dc2fbd2f88f7453b","5","aggregation_drop","same_family_version_chain","0.6923","expected and top1 titles are in the same topic family; correct document entered candidate retrieval but lost final aggregation."
