"reviewPriority","recommendation","query","expectedTitle","top1Title","flags","titleSimilarity","entryBucket","finalRank","bestCorrectRrfRank","failureRisk","supportPattern","queryType","queryScope","themeFamily","expectedOtid","top1Otid","rationale"
"high","verify_eval_boundary_or_expected_otid","如果我在2019年同等学力临床医学博士资格认定里已经通过英语考试并交了材料 后面学校会怎么审查并通知结果","关于2019年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的 通知","关于2019年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的 通知","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","multi_kp","situational","procedure","资格认定审查流程","otid_ffd4fbd63cc34a41","otid_ffd4fbd63cc34a41","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2023年鹏城实验室联合培养博士政策要点","2023年中山大学-鹏城实验室联合培养博士研究生专项计划招生简章","2023年中山大学-鹏城实验室联合培养博士研究生专项计划招生简章","vague_or_context_dependent_query|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","partial_multi_kp_coverage","multi_kp","short_keyword","policy_overview","联合培养博士政策概述","otid_903e35dbd70b496d","otid_903e35dbd70b496d","expected and top1 titles are nearly duplicate; query contains vague or context-dependent wording; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","一个非在职考生 想调剂到的南疆高校教师专项 需要满足要什么条件并怎么弄","中山大学2025年定向南疆高校教师专项调剂公告（第二批）","中山大学2025年定向南疆高校教师专项调剂公告（第二批）","no_explicit_year|same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","partial_multi_kp_coverage","multi_kp","situational","eligibility_condition","调剂资格与申请","otid_e2d751b9441d4178","otid_e2d751b9441d4178","expected document is year-specific but query has no explicit year; expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2024年上半年同等学力人员申请硕士学位论文答辩的完整步骤包括哪些","关于2024年上半年同等学力人员申请硕士学位论文答辩的通知","关于2024年上半年同等学力人员申请硕士学位论文答辩的通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","9","partial_multi_kp_coverage","multi_kp","standard","procedure","同等学力答辩流程","otid_f47cc83680a34adf","otid_f47cc83680a34adf","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","申请2024年推免的流程怎么走是怎样的","中山大学2024年推荐免试研究生接收办法","中山大学2024年推荐免试研究生接收办法","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","2","partial_multi_kp_coverage","multi_kp","standard","procedure","推免申请流程","otid_f3ee1947f40e4b18","otid_f3ee1947f40e4b18","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2025年南疆高校教师专项调剂的完整申请流程是怎样的","中山大学2025年定向南疆高校教师专项调剂公告（第二批）","中山大学2025年定向南疆高校教师专项调剂公告（第二批）","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","partial_multi_kp_coverage","multi_kp","standard","procedure","调剂申请流程","otid_e2d751b9441d4178","otid_e2d751b9441d4178","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2024年硕士招生的要要什么条件和报名流程是怎样的","中山大学2024年硕士研究生招生章程及招生学科专业目录","中山大学2024年硕士研究生招生章程及招生学科专业目录","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","partial_multi_kp_coverage","multi_kp","standard","procedure","招生政策","otid_1c14b6043fd645c8","otid_1c14b6043fd645c8","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2024临床医学博士同等学力资格认定 从提交材料到学校审核流程怎么走","关于2024年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的通知","关于2024年在职临床医师以研究生毕业同等学力申请临床医学博士专业学位资格认定的通知","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","2","partial_multi_kp_coverage","multi_kp","standard","procedure","在职临床医师博士资格认定","otid_79fde873cbd54280","otid_79fde873cbd54280","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","报考2024年退役大学生士兵计划需要提交哪些报名材料 并在复试时如何审查资格","中山大学2024年“退役大学生士兵”专项硕士研究生招生计划招生公告","中山大学2024年“退役大学生士兵”专项硕士研究生招生计划招生公告","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","4","partial_multi_kp_coverage","multi_kp","standard","procedure","退役士兵计划招生","otid_8b89d42037fa4682","otid_8b89d42037fa4682","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
"high","verify_eval_boundary_or_expected_otid","2026年中山大学海外直博采用什么招生方式？","中山大学2026年招收海外高校优秀中国籍本科毕业生直接攻读博士学位招生简章","中山大学2026年招收海外高校优秀中国籍本科毕业生直接攻读博士学位招生简章","same_family_version_chain|near_duplicate_title|metric_or_acceptable_boundary_check","1","already_top1","1","1","best_kpid_confusion","single_kp","standard","policy_overview","中山大学海外直博招生2026","otid_a197d7d56a914cf0","otid_a197d7d56a914cf0","expected and top1 titles are nearly duplicate; audit indicates a possible boundary or metric interpretation issue."
